Month,Sales
Mar-09,"24,814.80"
Jun-09,"29,344.90"
Sep-09,"26,045.00"
Dec-09,"30,119.40"
Mar-10,"30,583.60"
Jun-10,"36,724.00"
Sep-10,"32,011.70"
Dec-10,"37,730.20"
Mar-11,"36,797.50"
Jun-11,"42,452.70"
Sep-11,"39,055.10"
Dec-11,"42,974.20"
Mar-12,"40,554.60"
Jun-12,"45,278.40"
Sep-12,"42,831.70"
Dec-12,"43,478.30"
Mar-13,"41,644.30"
Jun-13,"47,822.70"
Sep-13,"40,305.90"
Dec-13,"45,196.20"
Mar-14,"43,744.80"
Jun-14,"45,724.80"
Sep-14,"42,910.90"
Dec-14,"44,788.00"
Mar-15,"43,751.70"
Jun-15,"45,083.30"
Sep-15,"41,218.00"
Dec-15,"46,632.90"
Mar-16,"44,005.90"
Jun-16,"49,845.30"
Sep-16,"44,550.70"
Dec-16,"48,394.90"
Mar-17,"47,525.70"
Jun-17,"48,964.50"
Sep-17,"47,593.50"
Dec-17,"45,588.50"
Mar-18,"47,850.60"
Jun-18,"49,471.40"
Sep-18,"48,194.30"
Dec-18,"51,983.90"
Mar-19,"51,079.70"
Jun-19,"64,333.60"
Sep-19,"59,903.40"
Dec-19,"63,041.50"
Mar-20,"55,787.10"
Jun-20,"25,802.50"
Sep-20,"47,554.00"
