1.3 Gender,1.4 Educational Qualification,1.5 Social Category,1.6 Economic Status,1.15 Experience in business (Overall),1.15.1 How long you are there in the current business,2.2 Business Sector,2.3 Trader / Manufacturer / Service,2.7 Ownership ( Any Aspiring/existing),Sales at,Full time/Part time,1.18 Annual Family income,Turnover 2018-19,Turnover 2019-20,Turnover Increase
Female,12th pass/PU,General,BPL,0 to 5 yrs,0 to 5 yrs,Textile & Garment,Manufacturer,Individually owned,Local,Full time,96000,0,50000,50000
Female,Graduate,General,BPL,0 to 5 yrs,0 to 5 yrs,Textile & Garment,Service,Individually owned,Non Local,Full time,96000,0,60000,60000
Female,12th pass/PU,General,BPL,0 to 5 yrs,0 to 5 yrs,Handicraft,Manufacturer,Individually owned,Local,Full Time,72000,0,60000,60000
Female,Secondary,General,BPL,0 to 5 yrs,0 to 5 yrs,Textile & Garment,Service,Individually owned,Local,Full time,120000,0,70000,70000
Female,Secondary,General,BPL,0 to 5 yrs,0 to 5 yrs,Food,Manufacturer,Family owned,Local,Full Time,120000,0,70000,70000
Female,Primary,General,BPL,0 to 5 yrs,0 to 5 yrs,Food,Manufacturer,Individually owned,Local,Full Time,96000,0,70000,70000
Female,Primary,General,BPL,6 to 10 yrs,6 to 10 yrs,Textile & Garment,Trader,Family owned,Local,Full time,96000,0,72000,72000
Female,Secondary,General,BPL,0 to 5 yrs,0 to 5 yrs,Textile & Garment,Service,Individually owned,Non Local,Full time,120000,0,90000,90000
Female,12th pass/PU,General,BPL,0 to 5 yrs,0 to 5 yrs,Textile & Garment,Manufacturer,Family owned,Local,Full time,120000,0,150000,150000
Female,Primary,OBC,BPL,0 to 5 yrs,0 to 5 yrs,General business,Manufacturer,Family owned,Local,Full Time,120000,0,1000000,1000000
Female,Secondary,ST,BPL,0 to 5 yrs,0 to 5 yrs,Textile & Garment,Service,Individually owned,Local,Full time,96000,20000,40000,20000
Female,12th pass/PU,ST,BPL,0 to 5 yrs,0 to 5 yrs,Textile & Garment,Manufacturer,Individually owned,Local,Full time,"1,00,000",25000,25000,0
Female,Secondary,General,BPL,0 to 5 yrs,0 to 5 yrs,Handicraft,Manufacturer,Individually owned,Local,Part time,60000,25000,30000,5000
Female,12th pass/PU,General,BPL,0 to 5 yrs,0 to 5 yrs,Textile & Garment,Manufacturer,Individually owned,Local,Full time,75000,30000,40000,10000
Female,Secondary,General,APL,6 to 10 yrs,0 to 5 yrs,Textile & Garment,Manufacturer,Individually owned,Local,Full time,65000,30000,40000,10000
Female,Secondary,General,BPL,0 to 5 yrs,0 to 5 yrs,Textile & Garment,Service,Individually owned,Local,Full time,120000,30000,50000,20000
Female,Secondary,General,BPL,0 to 5 yrs,0 to 5 yrs,Textile & Garment,Manufacturer,Family owned,Local,Full time,120000,30000,50000,20000
Female,Secondary,ST,BPL,0 to 5 yrs,0 to 5 yrs,Food,Manufacturer,Individually owned,Local,Part time,65000,35000,40000,5000
Female,Secondary,OBC,BPL,0 to 5 yrs,0 to 5 yrs,Textile & Garment,Manufacturer,Individually owned,Local,Full time,85000,40000,50000,10000
Female,Graduate,OBC,BPL,0 to 5 yrs,0 to 5 yrs,Textile & Garment,Trader,Individually owned,Local,Full time,"2,00,000",40000,55000,15000
Male,Graduate,OBC,BPL,6 to 10 yrs,6 to 10 yrs,Food,Manufacturer,Individually owned,Local,Part time,180000,40000,200000,160000
Female,Secondary,OBC,BPL,6 to 10 yrs,6 to 10 yrs,Food,Service,Individually owned,Local,Full time,"1,00,000",45000,50000,5000
Female,12th pass/PU,ST,BPL,0 to 5 yrs,0 to 5 yrs,Food,Manufacturer,Family owned,Local,Full time,75000,45000,55000,10000
Female,Secondary,General,BPL,0 to 5 yrs,0 to 5 yrs,Food,Manufacturer,Family owned,Local,Full Time,96000,50000,50000,0
Female,12th pass/PU,ST,BPL,6 to 10 yrs,0 to 5 yrs,Textile & Garment,Trader,Individually owned,Local,Full time,"1,00,000",50000,65000,15000
Female,Secondary,ST,BPL,0 to 5 yrs,0 to 5 yrs,Textile & Garment,Trader,Individually owned,Local,Full time,80000,50000,70000,20000
Female,Secondary,General,BPL,0 to 5 yrs,0 to 5 yrs,General business,Manufacturer,Family owned,Local,Part time,108000,50000,80000,30000
Female,12th pass/PU,General,BPL,0 to 5 yrs,0 to 5 yrs,Textile & Garment,Manufacturer,Individually owned,Local,Full time,72000,50000,85000,35000
Female,Secondary,General,BPL,0 to 5 yrs,0 to 5 yrs,Textile & Garment,Manufacturer,Individually owned,Local,Full time,108000,56000,70000,14000
Female,Secondary,General,BPL,0 to 5 yrs,0 to 5 yrs,General business,Manufacturer,Family owned,Local,Full Time,96000,60000,96000,36000
Female,Graduate,General,BPL,0 to 5 yrs,0 to 5 yrs,General business,Trader,Individually owned,Local,Part time,Nill,65000,70000,5000
Male,12th pass/PU,General,BPL,6 to 10 yrs,6 to 10 yrs,Handicraft,Manufacturer,Family owned,Local,Part time,120000,70000,50000,-20000
Female,12th pass/PU,General,BPL,6 to 10 yrs,6 to 10 yrs,General business,Manufacturer,Family owned,Local,Part time,12000,70000,100000,30000
Female,Graduate,OBC,APL,0 to 5 yrs,0 to 5 yrs,Textile & Garment,Manufacturer,Individually owned,Local,Full time,200000,75000,100000,25000
Female,Secondary,General,BPL,6 to 10 yrs,6 to 10 yrs,Textile & Garment,Manufacturer,Individually owned,Non Local,Part time,80000,80000,100000,20000
Female,Secondary,OBC,BPL,0 to 5 yrs,0 to 5 yrs,Textile & Garment,Manufacturer,Family owned,Local,Full time,180000,80000,150000,70000
Male,Graduate,General,BPL,0 to 5 yrs,0 to 5 yrs,Handicraft,Manufacturer,Family owned,Local,Part time,120000,85000,50000,-35000
Male,Secondary,General,APL,6 to 10 yrs,6 to 10 yrs,General business,Trader,Individually owned,Local,Full time,300000,90000,100000,10000
Female,Graduate,General,BPL,6 to 10 yrs,6 to 10 yrs,Textile & Garment,Manufacturer,Family owned,Non Local,Full time,120000,90000,140000,50000
Female,Secondary,OBC,BPL,6 to 10 yrs,6 to 10 yrs,Food,Manufacturer,Family owned,Local,Full Time,120000,100000,140000,40000
Male,Graduate,General,BPL,0 to 5 yrs,0 to 5 yrs,Food,Manufacturer,Individually owned,Local,Part time,120000,100000,140000,40000
Female,Secondary,General,BPL,0 to 5 yrs,0 to 5 yrs,Food,Manufacturer,Family owned,Local,Full Time,120000,100000,150000,50000
Female,Primary,ST,BPL,0 to 5 yrs,0 to 5 yrs,Food,Manufacturer,Individually owned,Non Local,Full Time,132000,120000,132000,12000
Female,12th pass/PU,General,APL,15 to 20yrs,11 to 15 yrs,Food,Manufacturer,Individually owned,Local,Full time,"1,20,000",120000,135000,15000
Male,Primary,General,BPL,15 to 20yrs,15 to 20yrs,Handicraft,Trader,Individually owned,Non Local,Full time,Nill,125000,300000,175000
Female,Secondary,General,BPL,6 to 10 yrs,6 to 10 yrs,Food,Manufacturer,Family owned,Non Local,Full Time,120000,180000,216000,36000
Female,Graduate,General,APL,0 to 5 yrs,0 to 5 yrs,Textile & Garment,Trader,Individually owned,Local,Full time,700000,300000,600000,300000
Female,Graduate,SC,BPL,6 to 10 yrs,6 to 10 yrs,General business,Manufacturer,Individually owned,Non Local,Full time,250000,1200000,1300000,100000
Female,Secondary,General,BPL,0 to 5 yrs,0 to 5 yrs,Food,Manufacturer,Family owned,Non Local,Full Time,108000,16000000,1800000,-14200000
