Age,Gender,Edu,Social Cat,Eco Stat,Overall Exp,Current Business Exp,Member of,Business Sector,Work type,Qualification for Loan,Turnover per month,Profit Margin,Has Loan,Type of business,Business,Experience,Scope of business to grow 4 times in 3 years,Business runs more than 11 months,Candidate keeps a propger accounts,Know clear cost of productoion per unit,Give Loan
50,Female,Primary,General,BPL,0 to 5 yrs,0 to 5 yrs,UNDP Disha,Textile & Garment,Trader,0,15000,0.45,1,Sole Proprietorship,Full time,>3years,1,1,0,0,0
34,Female,Primary,OBC,BPL,0 to 5 yrs,0 to 5 yrs,UNDP Disha,Textile & Garment,Manufacturer,0,15000,0.4,0,Sole Proprietorship,Full time,>3years,1,1,0,0,0
32,Female,Secondary,General,BPL,0 to 5 yrs,0 to 5 yrs,UNDP Disha,Food,Manufacturer,0,20000,0.4,0,Sole Proprietoship,Full time,>3years,1,1,0,0,0
30,Female,Secondary,General,BPL,0 to 5 yrs,0 to 5 yrs,UNDP Disha,Textile & Garment,Manufacturer,0,6000,0.4,0,Sole Proprietorship,Part time,>3years,1,0,0,0,0
35,Female,Secondary,General,BPL,0 to 5 yrs,0 to 5 yrs,UNDP Disha,Textile & Garment,Manufacturer,0,11000,0.2,0,Sole Proprietorship,Part time,>3years,1,1,1,1,0
18,Female,Secondary,General,BPL,0 to 5 yrs,0 to 5 yrs,UNDP Disha,Textile & Garment,Manufacturer,1,40000,0.35,0,Sole Proprietorship,Full time,>3years,1,1,0,0,0
30,Female,Secondary,General,BPL,0 to 5 yrs,0 to 5 yrs,UNDP Disha,Textile & Garment,Manufacturer,0,45000,0.56,0,Sole Proprietorship,Full time,>3years,1,1,0,0,0
33,Female,Secondary,General,BPL,0 to 5 yrs,0 to 5 yrs,UNDP Disha,Food,Manufacturer,1,20000,0.4,0,Sole Proprietorship,Full time,>3years,1,1,0,1,1
40,Female,Secondary,General,BPL,6 to 10 yrs,6 to 10 yrs,Navodyami programme,Textile & Garment,Manufacturer,0,35000,0.45,0,Sole Proprietorship,Full time,>3years,1,1,0,1,0
32,Female,Secondary,General,APL,6 to 10 yrs,0 to 5 yrs,UNDP Disha,Textile & Garment,Manufacturer,0,3333,0.2,0,Sole Proprietorship,Part time,>3years,1,0,0,0,0
36,Female,Secondary,General,BPL,6 to 10 yrs,6 to 10 yrs,UNDP Disha,Food,Manufacturer,1,40000,0.45,0,Sole Proprietorship,Full time,>3years,1,1,0,1,1
36,Female,Higher Sec,General,BPL,6 to 10 yrs,6 to 10 yrs,UNDP Disha,Textile & Garment,Service,1,12000,0.75,0,Proprietorship,Full time,10 Years,1,1,0,0,0
44,Male,Higher Sec,General,BPL,0 to 5 yrs,6 to 10 yrs,Navodyami programme,Textile & Garment,Manufacturer,0,22500,0.2,0,Sole Proprietorship,Part time,>3years,1,1,0,1,0
32,Female,Higher Sec,General,BPL,6 to 10 yrs,6 to 10 yrs,UNDP Disha,Textile & Garment,Manufacturer,0,5000,0.6,0,Sole Proprietorship,Part time,>3years,0,0,0,0,0
40,Female,Higher Sec,General,APL,11 to 15 yrs,11 to 15 yrs,UNDP Disha,Textile & Garment,Manufacturer,1,150000,0.3,0,Sole Proprietorship,Full time,>3years,1,1,0,0,1
32,Female,Higher Sec,ST,BPL,0 to 5 yrs,0 to 5 yrs,UNDP Disha,Textile & Garment,Manufacturer,1,15000,0.4,0,Sole Proprietorship,Full time,>3years,1,1,0,0,0
48,Female,Higher Sec,General,APL,15 to 20yrs,11 to 15 yrs,UNDP Disha,Food,Manufacturer,0,1000000,0.3,0,Sole Proprietorship,Full time,>3years,1,1,1,1,0
38,Female,Primary,General,BPL,0 to 5 yrs,0 to 5 yrs,UNDP Disha,Textile & Garment,Trader,1,20000,0.5,0,Proprietorship,Full time,10 Years,1,1,0,0,0
45,Female,Primary,OBC,BPL,11 to 15 yrs,0 to 5 yrs,UNDP Disha,General business,Service,0,5400,0.25,1,Sole Proprietorship,Full time,>3years,1,1,0,0,0
32,Female,Graduate,OBC,APL,0 to 5 yrs,0 to 5 yrs,UNDP Disha,Textile & Garment,Manufacturer,0,10000,0.4,0,Sole Proprietorship,Full time,>3years,1,1,0,0,1
29,Female,Graduate,General,BPL,6 to 10 yrs,6 to 10 yrs,UNDP Disha,Textile & Garment,Manufacturer,1,80000,0.25,0,Sole Proprietoship,Full time,>3years,1,1,0,0,1
35,Female,Graduate,OBC,BPL,0 to 5 yrs,0 to 5 yrs,UNDP Disha,Food,Manufacturer,0,100000,0.3,1,Sole proprietoship,Full time,>3years,1,1,1,1,0
