Team,Season,W,D,L,Goals,+/-,Points,Rank
Atletico Madrid,2019,18,16,4,2.14375,24,70,4
Atletico Madrid,2018,22,10,6,2.311805556,26,76,2
Atletico Madrid,2017,23,10,5,2.431944444,36,79,2
Atletico Madrid,2016,23,9,6,2.935416667,43,78,3
Atletico Madrid,2015,28,4,6,2.6375,45,88,3
Atletico Madrid,2014,23,9,6,2.811805556,38,78,3
Atletico Madrid,2013,28,6,4,3.226388889,51,90,1
Atletico Madrid,2012,23,7,8,2.729861111,34,76,3
Atletico Madrid,2011,15,11,12,2.240277778,7,56,5
Atletico Madrid,2010,17,7,14,2.620138889,9,58,5
Atletico Madrid,2009,13,8,17,57:61,-4,47,9
Atletico Madrid,2008,20,7,11,3.372916667,23,67,4
Atletico Madrid,2007,19,7,12,2.782638889,19,64,5
Atletico Madrid,2006,17,9,12,1.94375,7,60,7
Atletico Madrid,2005,13,13,12,1.900694444,8,52,10
Atletico Madrid,2004,13,11,14,1.690277778,6,50,10
Atletico Madrid,2003,15,10,13,2.161805556,-2,55,7
Atletico Madrid,2002,12,11,15,2.163888889,-5,47,11
Atletico Madrid,2001,23,10,9,2.863888889,24,79,1
Atletico Madrid,2000,21,11,10,2.485416667,20,74,4
Atletico Madrid,1999,9,11,18,48:64,-16,38,19
Atletico Madrid,1998,12,10,16,2.284722222,4,46,13
Atletico Madrid,1997,16,12,10,3.330555556,23,60,5
Atletico Madrid,1996,20,11,11,76:64,12,71,5
Atletico Madrid,1995,26,9,7,3.147222222,43,87,1
Atletico Madrid,1994,13,9,16,2.370833333,2,35,14
Atletico Madrid,1993,13,9,16,2.2875,0,35,12
Atletico Madrid,1992,16,11,11,2.195833333,10,43,6
Atletico Madrid,1991,24,5,9,2.815972222,32,53,3
Atletico Madrid,1990,17,13,8,2.186111111,24,47,2
Atletico Madrid,1989,20,10,8,2.315972222,20,50,4
Atletico Madrid,1988,19,8,11,2.90625,24,46,4
Atletico Madrid,1987,19,10,9,2.526388889,22,48,3
Atletico Madrid,1986,18,11,15,2.454166667,4,47,5
Atletico Madrid,1985,17,8,9,2.234722222,15,42,5
Atletico Madrid,1984,16,11,7,2.144444444,23,43,2
Atletico Madrid,1983,17,8,9,2.240972222,6,42,4
Atletico Madrid,1982,20,6,8,2.359722222,18,46,3
Atletico Madrid,1981,15,4,15,1.609027778,1,34,8
Atletico Madrid,1980,16,10,8,1.94375,7,42,4
Atletico Madrid,1979,10,11,13,1.613888889,-6,31,13
Atletico Madrid,1978,14,13,7,2.317361111,18,41,3
Atletico Madrid,1977,16,4,14,2.577777778,9,36,6
Atletico Madrid,1976,19,8,7,2.60625,29,46,1
Atletico Madrid,1975,18,6,10,2.526388889,22,42,3
Atletico Madrid,1974,11,13,10,1.940277778,12,35,6
Atletico Madrid,1973,18,6,10,2.104861111,19,42,2
Atletico Madrid,1972,20,8,6,2.061805556,20,48,1
Atletico Madrid,1971,14,11,9,1.894444444,17,39,4
Atletico Madrid,1970,17,8,5,2.138888889,31,42,3
Atletico Madrid,1969,18,6,6,2.223611111,31,42,1
Atletico Madrid,1968,10,10,10,1.692361111,3,30,6
Atletico Madrid,1967,12,9,9,1.605555556,6,33,6
Atletico Madrid,1966,14,7,9,2.395833333,27,35,4
Atletico Madrid,1965,18,8,4,2.263888889,34,44,1
Atletico Madrid,1964,20,3,7,2.435416667,31,43,2
Atletico Madrid,1963,10,9,11,1.565277778,3,29,8
Atletico Madrid,1962,14,9,7,2.566666667,25,37,2
Atletico Madrid,1961,15,6,9,2.108333333,14,36,3
Atletico Madrid,1960,17,6,7,2.399305556,22,40,2
Atletico Madrid,1959,15,3,12,2.486111111,19,33,5
Atletico Madrid,1958,13,6,11,2.45,10,32,5
Atletico Madrid,1957,16,10,4,3.279861111,35,42,2
Atletico Madrid,1956,15,4,11,2.739583333,20,34,5
Atletico Madrid,1955,14,5,11,3.159027778,26,33,5
Atletico Madrid,1954,11,7,12,59:64,-5,29,8
Atletico Madrid,1953,11,7,12,2.407638889,10,29,9
Atletico Madrid,1952,13,4,13,65:70,-5,30,7
Atletico Madrid,1951,16,5,9,3.372916667,23,37,4
Atletico Madrid,1950,17,6,7,3.659722222,37,40,1
Atletico Madrid,1949,15,3,8,2.99375,20,33,1
Atletico Madrid,1948,15,4,7,2.272222222,22,34,4
Atletico Madrid,1947,13,7,6,3.072916667,28,33,3
Atletico Madrid,1946,13,6,7,2.447222222,14,32,3
Atletico Madrid,1945,10,6,10,2.116666667,2,26,7
