YEAR,SALES,MATERIAL,OTINC,PBT,EMPL,INT
1,3973,1742,37,662,13148,126
2,4871,2296,103,746,14871,208
3,4315,2356,126,482,15340,265
4,5567,2673,81,503,15642,410
5,6537,2796,164,690,15780,460
6,7460,3172,500,898,16298,336
7,7638,3503,469,1220,16644,202
8,8295,3824,475,851,17229,286
9,6891,3407,370,893,17351,416
10,12844,5123,382,2013,17306,526
11,14428,5733,684,2346,17952,513
12,15493,6100,535,2694,18207,713
13,18653,6600,414,2877,18453,877
14,21978,9030,383,2545,18903,1206
15,29562,15518,447,3032,18797,1697
16,37821,21380,1248,2969,19129,1861
17,49826,27510,972,2971,19280,2680
18,64521,36479,1385,4139,19394,2990
19,72392,35131,3937,5397,19357,3211
20,71678,33108,4398,6750,19080,4625
