1.3 Gender_Female,1.4 Educational Qualification_12th pass/PU,1.4 Educational Qualification_Primary,1.4 Educational Qualification_Secondary,1.5 Social Category_General,1.5 Social Category_OBC,1.5 Social Category_SC,1.6 Economic Status_BPL,1.15 Experience in business (Overall)_0 to 5 yrs,1.15 Experience in business (Overall)_6 to 10 yrs,2.2 Business Sector_General business,2.2 Business Sector_Handicraft,2.2 Business Sector_Textile & Garment,2.3 Trader / Manufacturer / Service_Manufacturer,2.3 Trader / Manufacturer / Service_Trader,2.7 Ownership ( Any Aspiring/existing)_Individually owned,Annual ,Turnover Increase
1,0,0,0,1,0,0,1,1,0,0,0,1,0,0,1,96000,50000
1,1,0,0,1,0,0,1,1,0,0,1,0,1,0,1,96000,60000
1,0,0,1,1,0,0,1,1,0,0,0,1,0,0,1,72000,60000
1,0,0,1,1,0,0,1,1,0,0,0,0,1,0,0,120000,70000
1,0,1,0,1,0,0,1,1,0,0,0,0,1,0,1,120000,70000
1,0,1,0,1,0,0,1,0,1,0,0,1,0,1,0,96000,70000
1,0,0,1,1,0,0,1,1,0,0,0,1,0,0,1,96000,72000
1,1,0,0,1,0,0,1,1,0,0,0,1,1,0,0,120000,90000
1,0,1,0,0,1,0,1,1,0,1,0,0,1,0,0,120000,150000
1,0,0,1,0,0,0,1,1,0,0,0,1,0,0,1,120000,1000000
1,1,0,0,0,0,0,1,1,0,0,0,1,1,0,1,96000,20000
1,0,0,1,1,0,0,1,1,0,0,1,0,1,0,1,100000,0
1,1,0,0,1,0,0,1,1,0,0,0,1,1,0,1,60000,5000
1,0,0,1,1,0,0,0,0,1,0,0,1,1,0,1,75000,10000
1,0,0,1,1,0,0,1,1,0,0,0,1,0,0,1,65000,10000
1,0,0,1,1,0,0,1,1,0,0,0,1,1,0,0,120000,20000
1,0,0,1,0,0,0,1,1,0,0,0,0,1,0,1,120000,20000
1,0,0,1,0,1,0,1,1,0,0,0,1,1,0,1,65000,5000
1,0,0,0,0,1,0,1,1,0,0,0,1,0,1,1,85000,10000
0,0,0,0,0,1,0,1,0,1,0,0,0,1,0,1,200000,15000
1,0,0,1,0,1,0,1,0,1,0,0,0,0,0,1,180000,160000
1,1,0,0,0,0,0,1,1,0,0,0,0,1,0,0,100000,5000
1,0,0,1,1,0,0,1,1,0,0,0,0,1,0,0,75000,10000
1,1,0,0,0,0,0,1,0,1,0,0,1,0,1,1,96000,0
1,0,0,1,0,0,0,1,1,0,0,0,1,0,1,1,100000,15000
1,0,0,1,1,0,0,1,1,0,1,0,0,1,0,0,80000,20000
1,1,0,0,1,0,0,1,1,0,0,0,1,1,0,1,108000,30000
1,0,0,1,1,0,0,1,1,0,0,0,1,1,0,1,72000,35000
1,0,0,1,1,0,0,1,1,0,1,0,0,1,0,0,108000,14000
1,0,0,0,1,0,0,1,1,0,1,0,0,0,1,1,96000,36000
1,1,0,0,1,0,0,1,0,1,1,0,0,1,0,0,120000,-20000
1,0,0,0,0,1,0,0,1,0,0,0,1,1,0,1,12000,30000
1,0,0,1,1,0,0,1,0,1,0,0,1,1,0,1,200000,25000
1,0,0,1,0,1,0,1,1,0,0,0,1,1,0,0,80000,20000
0,0,0,0,1,0,0,1,1,0,0,1,0,1,0,0,180000,70000
0,0,0,1,1,0,0,0,0,1,1,0,0,0,1,1,120000,-35000
1,0,0,0,1,0,0,1,0,1,0,0,1,1,0,0,300000,10000
1,0,0,1,0,1,0,1,0,1,0,0,0,1,0,0,120000,50000
0,0,0,0,1,0,0,1,1,0,0,0,0,1,0,1,120000,40000
1,0,0,1,1,0,0,1,1,0,0,0,0,1,0,0,120000,40000
1,0,1,0,0,0,0,1,1,0,0,0,0,1,0,1,120000,50000
1,1,0,0,1,0,0,0,0,0,0,0,0,1,0,1,132000,12000
0,0,1,0,1,0,0,1,0,0,0,1,0,0,1,1,120000,15000
1,0,0,0,1,0,0,0,1,0,0,0,1,0,1,1,120000,36000
1,0,0,0,0,0,1,1,0,1,1,0,0,1,0,1,700000,300000
1,0,0,1,1,0,0,1,1,0,0,0,0,1,0,0,250000,100000
,,,,,,,,,,,,,,,,108000,-14200000
